id,retweets_count,favorite_count,created_at,text,lang,retweeted,followers_count,friends_count,hashtags_count,description,location,background_image_url,source
8.26E+17,1406,4903,31-01-2017 11:00,"The President's address wonderfully encapsulated India's strengths, aspirations, potential &amp; the efforts towards #TransformingIndia.",en,FALSE,26809964,1641,1,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,907,2877,31-01-2017 10:59,Rashtrapati Ji's address to both Houses of Parliament was in-depth &amp; extensive. Do hear. https://t.co/rdKQtjgNNx @RashtrapatiBhvn,en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,694,0,31-01-2017 10:52,RT @PMOIndia: Empowering the marginalised. https://t.co/wwsqgW94Dk,en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,666,0,31-01-2017 10:52,RT @PMOIndia: Commitment to welfare of farmers. https://t.co/P7AAfRfmrC,en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,716,0,31-01-2017 10:52,RT @PMOIndia: Improving the quality of life for the poor. https://t.co/8ugm25VK2Z,en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,659,0,31-01-2017 10:52,RT @PMOIndia: Financial inclusion for poverty alleviation. https://t.co/5xT2ZyhHTE,en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,498,0,31-01-2017 10:51,RT @RashtrapatiBhvn: The four-decade old demand of one-rank-one-pension (OROP) of our Armed Forces veterans has been fulfilled #PresidentMu…,en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,508,0,31-01-2017 10:51,RT @RashtrapatiBhvn: My Government has taken bold decisions in the interest of the poor #PresidentMukherjee,en,FALSE,26809964,1641,1,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,460,0,31-01-2017 10:51,"RT @RashtrapatiBhvn: Under its proactive ""Act East"" policy, my govt is focussing on reducing isolation of the Eastern region &amp; North-east…",en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,389,0,31-01-2017 10:50,"RT @RashtrapatiBhvn: Through Stand-up India initiative, my govt. plans to empower over two and a half lakh SC, ST &amp; women entrepreneurs #Pr…",en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,485,0,31-01-2017 10:50,"RT @RashtrapatiBhvn: Pradhan Mantri Fasal Bima Yojana expanded ambit of risk-coverage, doubled sum insured &amp; facilitated lowest-ever premiu…",en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,535,0,31-01-2017 10:50,RT @RashtrapatiBhvn: My Government has taken various steps to transform the lives of our farmers #PresidentMukherjee,en,FALSE,26809964,1641,1,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26E+17,541,0,31-01-2017 10:50,RT @RashtrapatiBhvn: My Government is committed to provide shelter to every houseless poor household through the Pradhan Mantri Aawas Yojan…,en,FALSE,26809964,1641,0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
