user_id,item_id,rating,title
0,50,5,Star Wars (1977)
0,172,5,"Empire Strikes Back, The (1980)"
0,133,1,Gone with the Wind (1939)
1,50,5,Star Wars (1977)
1,172,5,"Empire Strikes Back, The (1980)"
1,133,4,Gone with the Wind (1939)
1,242,5,Kolya (1996)
1,51,4,Legends of the Fall (1994)
1,265,4,"Hunt for Red October, The (1990)"
1,86,5,"Remains of the Day, The (1993)"
1,257,4,Men in Black (1997)
1,222,4,Star Trek: First Contact (1996)
1,40,3,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
1,29,1,Batman Forever (1995)
1,144,4,Die Hard (1988)
1,118,3,Twister (1996)
1,1,5,Toy Story (1995)
1,95,4,Aladdin (1992)
1,234,4,Jaws (1975)
1,246,5,Chasing Amy (1997)
1,98,4,"Silence of the Lambs, The (1991)"
1,193,4,"Right Stuff, The (1983)"
1,88,4,Sleepless in Seattle (1993)
1,194,4,"Sting, The (1973)"
1,32,5,Crumb (1994)
1,16,5,French Twist (Gazon maudit) (1995)
1,201,3,Evil Dead II (1987)
1,241,4,"Last of the Mohicans, The (1992)"
1,4,3,Get Shorty (1995)
1,100,5,Fargo (1996)
1,181,5,Return of the Jedi (1983)
1,196,5,Dead Poets Society (1989)
1,143,1,"Sound of Music, The (1965)"
1,20,4,Angels and Insects (1995)
1,219,1,"Nightmare on Elm Street, A (1984)"
1,26,3,"Brothers McMullen, The (1995)"
1,232,3,Young Guns (1988)
1,15,5,Mr. Holland's Opus (1995)
1,165,5,Jean de Florette (1986)
1,248,4,Grosse Pointe Blank (1997)
1,5,3,Copycat (1995)
1,229,4,Star Trek III: The Search for Spock (1984)
1,237,2,Jerry Maguire (1996)
1,54,3,Outbreak (1995)
1,111,5,"Truth About Cats & Dogs, The (1996)"
1,25,4,"Birdcage, The (1996)"
1,154,5,Monty Python's Life of Brian (1979)
1,209,4,This Is Spinal Tap (1984)
1,23,4,Taxi Driver (1976)
1,208,5,Young Frankenstein (1974)
1,132,4,"Wizard of Oz, The (1939)"
1,174,5,Raiders of the Lost Ark (1981)
1,96,5,Terminator 2: Judgment Day (1991)
1,151,4,Willy Wonka and the Chocolate Factory (1971)
1,21,1,Muppet Treasure Island (1996)
1,195,5,"Terminator, The (1984)"
1,200,3,"Shining, The (1980)"
1,264,2,Mimic (1997)
1,245,2,"Devil's Own, The (1997)"
1,135,4,2001: A Space Odyssey (1968)
1,140,1,Homeward Bound: The Incredible Journey (1993)
1,272,3,Good Will Hunting (1997)
1,14,5,"Postino, Il (1994)"
1,268,5,Chasing Amy (1997)
1,117,3,"Rock, The (1996)"
1,177,5,"Good, The Bad and The Ugly, The (1966)"
1,231,1,Batman Returns (1992)
1,2,3,GoldenEye (1995)
1,137,5,Big Night (1996)
1,164,3,"Abyss, The (1989)"
1,79,4,"Fugitive, The (1993)"
1,258,5,Contact (1997)
1,216,5,When Harry Met Sally... (1989)
1,61,4,Three Colors: White (1994)
1,48,5,Hoop Dreams (1994)
1,77,4,"Firm, The (1993)"
1,220,3,"Mirror Has Two Faces, The (1996)"
1,255,2,My Best Friend's Wedding (1997)
1,202,5,Groundhog Day (1993)
1,235,5,Mars Attacks! (1996)
1,228,5,Star Trek: The Wrath of Khan (1982)
1,178,5,12 Angry Men (1957)
1,10,3,Richard III (1995)
1,127,5,"Godfather, The (1972)"
1,106,4,Diabolique (1996)
1,69,3,Forrest Gump (1994)
1,214,4,Pink Floyd - The Wall (1982)
1,109,5,Mystery Science Theater 3000: The Movie (1996)
1,171,5,Delicatessen (1991)
1,65,4,What's Eating Gilbert Grape (1993)
